Entry,Sample1,Sample2,Base,Solvent,Product
87,OC(CNC(CC1=CC=CC=C1)=O)CC2=CC=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,NCC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2
,OC(CNC(CC1=CC=CC=C1)=O)CC2=CC=CC=C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(NCC(/C=C/C1=CC=CC=C1)CC2=CC=CC=C2)CC3=CC=CC=C3
88,OC1CCCO1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C1(OCCC1)/C=C/C2=CC=CC=C2
89,OCCCC(OCC)=O,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(CCC/C=C/C1=CC=CC=C1)OCC
90,OCCC1=C(OS(=O)(C(F)(F)F)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=S(OC1=C(CC/C=C/C2=CC=CC=C2)C=CC=C1)(C(F)(F)F)=O
91,CC(C)C(NC(OC(C)(C)C)=O)CO,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(C)C(N)C/C=C/C1=CC=CC=C1
,CC(C)C(NC(OC(C)(C)C)=O)CO,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(C)C(NC(OC(C)(C)C)=O)C/C=C/C1=CC=CC=C1
92,OC([N+]([O-])=O)CCCC,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CCCCC(/C=C/C1=CC=CC=C1)[N+]([O-])=O
93,OC(C#N)CCCC,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CCCCC(/C=C/C1=CC=CC=C1)C#N
94,OCC(C(O)=O)C1=CC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(C(C/C=C/C1=CC=CC=C1)C2=CC=CC=C2)O
95,C[C@]12CC[C@@]3([H])[C@](CCC4=CC(CC[C@]34[H])=O)([H])[C@]1([H])CC[C@@]2(O)C#C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,C[C@]12CC[C@@]3([H])[C@](CCC4=CC(CC[C@]34[H])=O)([H])[C@]1([H])CC[C@@]2(/C=C/C5=CC=CC=C5)C#C
96,CC(C)(NCC(O)C1=CC(CO)=C(O)C=C1)C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(C)(NCC(O)C1=CC(C/C=C/C2=CC=CC=C2)=C(O)C=C1)C
,CC(C)(NCC(O)C1=CC(CO)=C(O)C=C1)C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(C)(NCC(/C=C/C1=CC=CC=C1)C2=CC(CO)=C(O)C=C2)C
97,CC(C)(C(O)/C=C/C1=CC2=C(OCO2)C=C1)C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(C)(C(/C=C/C1=CC=CC=C1)/C=C/C2=CC3=C(OCO3)C=C2)C
98,CC1=NC=C([N+]([O-])=O)N1CC(O)C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC1=NC=C([N+]([O-])=O)N1CC(C)/C=C/C2=CC=CC=C2
99,O=C(NC1=O)C(C(F)(F)F)=CN1[C@@H]2O[C@H](CO)[C@@H](O)C2,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,O=C(NC1=O)C(C(F)(F)F)=CN1[C@@H]2O[C@H](C/C=C/C3=CC=CC=C3)[C@@H](O)C2
100,CC(NCC(O)COC1=CC=C(CCOC)C=C1)C,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(NCC(/C=C/C1=CC=CC=C1)COC2=CC=C(CCOC)C=C2)C
,CC(OC)C1=C(O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
