Entry,Sample1,Sample2,Base,Solvent,Product
21,OC(C)C1=C(Br)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(Br)C=CC=C2
22,OC(C)C1=C(I)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(I)C=CC=C2
23,OC(C)C1=C([N+]([O-])=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C([N+]([O-])=O)C=CC=C2
24,OC(C)C1=C(C(O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2C(O)=O
25,OC(C)C1=C(C(OCC)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2C(OCC)=O
26,OC(C)C1=C([Si](C)(C)C)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2[Si](C)(C)C
27,OC(C)C1=C(C(NCC2=CC=CC=C2)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2C(NCC3=CC=CC=C3)=O
28,OC(C)C1=NC=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=NC=CC=C2
29,OC(C)C1=C(C=C)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(C=C)C=CC=C2
30,OC(C)C1=C(C#C)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(C#C)C=CC=C2
31,OC(C)C1=C(O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
32,OC(C)C1=C(OC(OC(C)(C)C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
,OC(C)C1=C(OC(OC(C)(C)C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(OC(OC(C)(C)C)=O)C=CC=C2
33,OC(C)C1=C(OC(C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
,OC(C)C1=C(OC(C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC1=CC=CC=C1
34,OC(C)C1=C(OS(=O)(C(F)(F)F)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
,OC(C)C1=C(OS(=O)(C(F)(F)F)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(OS(=O)(C(F)(F)F)=O)C=CC=C2
35,OC(C)C1=C(OS(C)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
,OC(C)C1=C(OS(C)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(OS(C)(=O)=O)C=CC=C2
36,OC(C)C1=C(OS(C2=CC=C(C)C=C2)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O)C=CC=C2
,OC(C)C1=C(OS(C2=CC=C(C)C=C2)(=O)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(OS(C3=CC=C(C)C=C3)(=O)=O)C=CC=C2
37,OC(C)C1=C(O[Si](C)(C)C)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(O[Si](C)(C)C)C=CC=C2
38,OC(C)C1=C(OC)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(OC)C=CC=C2
39,OC(C)C(C=CC=C1)=C1N,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
40,OC(C)C1=C(NC(OC(C)(C)C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
,OC(C)C1=C(NC(OC(C)(C)C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(NC(OC(C)(C)C)=O)C=CC=C2
41,OC(C)C1=C(NC(C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
,OC(C)C1=C(NC(C)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(NC(C)=O)C=CC=C2
42,OC(C)C1=C(NS(=O)(C(F)(F)F)=O)C=CC=C1,OB(/C=C/C1=CC=CC=C1)O,[O-]P(=O)([O-])[O-].[K+].[K+].[K+],CC1=CC=CC=C1,CC(/C=C/C1=CC=CC=C1)C2=C(N)C=CC=C2
